회원번호,아이디,비밀번호,회원이름,주민등록번호(앞),주민등록번호(뒤),회원주소,전화번호(앞),전화번호(중),전화번호(뒤)
120032,kua8713,ibgcuz89,노윤지,880531,2668337,대구 동구,10,6808,1240
110043,biy2984,uj845816,곽하람,880131,1427613,인천 중구,10,4762,1244
120033,xem7053,iqodis66,주지민,940331,2181395,인천 연수구,10,5740,1244
120034,jed3779,al546062,정민채,831031,2315986,인천 연수구,10,1552,1246
110044,fielad64,ofrukl29,배승현,920430,1964844,인천 부평구,10,2218,1247
110045,wid94010,awxoby66,전준성,990831,1919230,인천 중구,10,6158,1250
120035,zet4618,epijeo17,양지아,831031,2006404,인천 미추홀구,10,5898,1254
110046,fiv77969,om096482,이재현,900531,1706126,인천 미추홀구,10,2981,1261
120036,hem88330,osqoky63,류유정,930331,2730750,인천 연수구,10,8084,1264
120037,rai1267,oj659579,황서우,861231,2722757,인천 부평구,10,2236,1271
110047,xez2902,imxges62,박윤우,930831,1272576,인천 중구,10,5888,1274
120038,dejnaf80,ijcirs84,문수현,901031,2242224,인천 서구,10,2535,1283
120039,kaf1101,arbvet42,송민채,800229,2736623,인천 계양구,10,1191,1285
110048,neq3400,oj334268,허윤우,910731,1711511,인천 남동구,10,2412,1286
120040,vetyuz00,uhqocu20,채시연,911130,2001867,인천 동구,10,3371,1286
120041,gum7356,elxrae50,나서희,961130,2315296,인천 동구,10,9000,1295
120042,pac2409,isdmaj19,정은채,860831,2694420,인천 부평구,10,3697,1296
110049,mez67171,ol083498,채우진,931031,1022553,인천 중구,10,5356,1297
120043,qev5753,oqddux03,하민채,880831,2390546,인천 중구,10,9720,1297
120044,ni0378,aq608152,권윤서,961231,2227550,인천 연수구,10,5927,1299
120045,nuz1027,aq608152,양서아,961231,2226169,인천 중구,10,9401,1299
120046,hix95414,of540612,장하연,810831,2698579,인천 중구,10,2530,1300
110050,god02825,es557199,남민규,860228,1932030,인천 중구,10,2351,1303
120047,xoy7535,of540612,박예린,810831,2697804,인천 연수구,10,6457,1305
120048,vug7707,uv920453,민유빈,890430,2441027,인천 부평구,10,1391,1312
120049,wam3929,ehzviw88,정예림,901031,2703595,인천 미추홀구,10,5474,1312
110051,me1030,er082018,전지성,960229,1643878,광주 광산구,10,6177,1316
120050,za6524,etogof83,강예원,830630,2647148,광주 남구,10,9160,1321
120051,cer6666,ab171322,채세아,800331,2744118,광주 동구,10,5968,1323
110052,qug4188,us765776,라유찬,990930,1851000,광주 북구,10,4029,1326
110053,wiy3958,og857872,한서우,840331,1342487,광주 서구,10,8557,1327
120052,dercey6624,olyilv28,배지수,990430,2399960,광주 남구,10,8646,1334
120053,cex6507,ax360853,곽채아,900731,2902188,광주 남구,10,3512,1338
120054,veh67570,up333635,원시현,951130,2637403,광주 동구,10,4206,1341
110054,nuh3713,in159832,장정민,990630,1993680,광주 광산구,10,1962,1343
110055,def2661,irapem48,구하준,890331,1741157,광주 남구,10,4592,1349
120055,yaw5962,eh133400,최유빈,840331,2948252,광주 남구,10,8044,1350
120056,cek75319,ov888798,최주하,920531,2808809,광주 북구,10,9283,1356
110056,muo95336,ak293482,홍현우,991231,1746509,광주 남구,10,4357,1358
110057,roehie0636,uyfebo06,노민규,871031,1474759,광주 동구,10,6768,1360
120057,pue30600,is331324,하가은,920430,2499766,광주 서구,10,2214,1368
110058,kol89323,op181495,우시현,960531,1531676,광주 북구,10,3032,1371
110059,movdaq30,etkiwv52,신이안,851231,1183944,광주 광산구,10,4932,1372
120058,tue3955,is331324,한민채,920430,2499662,광주 남구,10,3667,1373
120059,quq2129,ig032892,배유진,991031,2566358,광주 서구,10,4110,1373
110060,xer9853,okqhos79,허준희,811031,1737167,광주 북구,10,9988,1373
120060,goqhir1644,az076488,강시은,821130,2238219,광주 광산구,10,6445,1374
120061,jig77026,im077811,남하율,810228,2590700,광주 북구,10,5970,1376
110061,gau4924,ovnn1596,홍서진,910331,1241761,광주 남구,10,5795,1381
120062,xay8869,atpkus31,정나윤,930331,2393715,광주 서구,10,4842,1388
110062,zox3425,omkp6824,라성민,980831,1263219,광주 광산구,10,2283,1390
120063,wuh8496,eztraz53,우소연,930228,2345397,대전 동구,10,4134,1390
110063,rev42015,ufeagm42,오준우,870930,1947224,대전 서구,10,4257,1391
110064,wuu6430,undd8457,라지환,920229,1807492,대전 중구,10,1421,1409
120064,zog3684,uwwtou02,하태희,840229,2372531,대전 대덕구,10,6949,1418
110065,gexpoz6646,ognehv41,주재원,890630,1947141,대전 대덕구,10,3451,1422
120065,veg5892,iwobai89,곽수연,831130,2038605,대전 동구,10,1592,1426
120066,paa2212,icqtuc90,차다은,970731,2682243,대전 유성구,10,9249,1428
120067,vop2082,obqcej94,배민주,820531,2607713,대전 대덕구,10,9722,1431
120068,hol25479,ettapk72,권수연,860430,2721325,대전 중구,10,3480,1443
110066,nualus1946,ukjubh25,구예준,900430,1774117,대전 유성구,10,3847,1446
110067,tau4850,as807449,지윤호,850430,1229915,대전 중구,10,7400,1449
120069,wee9764,asledv53,정혜원,940228,2536383,대전 서구,10,2289,1456
110068,xeq48480,ak250820,주지원,820531,1063956,대전 유성구,10,6310,1459
120070,qul5401,arayod88,권지연,941031,2598042,대전 동구,10,5533,1462
120071,bas18690,eptucd16,신예진,851031,2678474,대전 중구,10,4296,1463
120072,rep3000,iqivul74,라혜원,981231,2084849,대전 대덕구,10,4950,1463
120073,nej3867,esjdam82,조도연,830731,2368839,대전 유성구,10,4991,1465
120074,huuxek21,ut260578,민서희,901130,2704308,대전 서구,10,9259,1468
120075,lo0452,ut035172,구하연,930731,2302797,대전 유성구,10,9796,1468
121437,nee3205,um522647,정다현,950930,2224420,대전 유성구,10,1188,1477
110069,met62695,ih361869,진승원,810430,1978091,대전 중구,10,6039,1481
120076,xoo6332,al609889,홍서율,921031,2666906,대전 유성구,10,3109,1484
110070,de8631,ed965124,양시온,840531,1282247,대전 동구,10,4369,1484
110071,je5700,uk969146,신예찬,951231,1511066,대전 중구,10,9322,1490
120077,fuz4855,ikjyab04,차채원,820630,2492470,대전 서구,10,5767,1493
120078,yig7498,ujricx68,박민아,910430,2421885,울산 북구,10,6940,1499
120079,yiu2514,oxnneb36,홍소민,890430,2379750,울산 남구,10,2650,1503
120080,wek70091,ub440543,남소율,830228,2720477,울산 동구,10,4906,1504
120081,je7418,oj585277,나예진,980831,2335233,울산 중구,10,9713,1507
110072,suyvar2041,akmigw38,배성현,820731,1187987,울산 중구,10,7090,1509
110073,qur5409,uqvh9021,최수호,980531,1905787,울산 남구,10,7557,1509
120082,jat6302,exqozr13,우지아,830331,2079266,울산 동구,10,6287,1513
110074,veg95048,am927527,윤승우,970831,1420820,울산 중구,10,6785,1513
110075,qiu6863,uf421665,백유준,900331,1778223,울산 북구,10,8789,1517
120083,re6432,el242926,신아영,951130,2601000,울산 북구,10,8878,1517
120084,yuc8862,el242926,이지연,951130,2601486,울산 북구,10,3461,1518
110076,vueqia2010,pa618875,원태윤,929369,1726219,울산 북구,10,2374,1520
120085,giuhew7924,if746298,최예림,880831,2483138,울산 중구,10,2513,1520
110077,pibdua5182,ilkesn81,하지율,951031,1387229,울산 동구,10,5946,1521
120086,hahzuq69,ec422730,송가은,961031,2556589,울산 남구,10,9661,1528
110078,noohoq0812,uqlayj67,민수호,951231,1890595,울산 북구,10,6804,1529
120087,yak0831,odwjud98,라지원,970630,2875802,울산 남구,10,5620,1530
110079,tei7065,uh076437,안지훈,831231,1447574,울산 남구,10,6690,1534
110080,mar73642,ix987523,차율,930228,1176780,울산 남구,10,8969,1538
110081,vaiyou1361,ri806017,채은성,977418,1541483,울산 북구,10,5308,1539
121424,hua20538,uk326739,고하린,830131,2984776,울산 중구,10,5722,1540
120088,cag7010,uckgut74,송지은,810331,2494972,울산 북구,10,6322,1545
110082,vev56759,el315346,주민호,850531,1170100,울산 남구,10,8531,1547
120089,wop9600,ed906482,양서우,930630,2313338,울산 동구,10,1077,1548
110083,ziusut5618,du227743,임지환,912712,1523101,울산 중구,10,4818,1558
120090,diq5967,ocziwn54,이승아,940331,2085226,세종 조치원읍,10,7301,1562
110084,nii0234,il821328,고승원,830131,1470571,세종 종촌동,10,2142,1564
120091,jop12834,ig231232,최윤지,820930,2028510,세종 보람동,10,6953,1565
110085,reehid92,olsehj58,라윤우,900131,1713923,세종 소정면,10,9299,1565
120092,xeo98680,ov117264,민예원,870930,2619864,세종 고운동,10,1068,1584
120093,pad46826,azbpew52,민하율,810228,2663629,세종 조치원읍,10,5772,1589
120094,waz31288,ihligu29,송예서,950228,2776289,세종 소정면,10,7446,1593
110086,gay3490,er593896,우승민,931231,1337845,세종 부강면,10,8024,1593
110087,linpuf57,orzili00,하하준,830331,1740811,세종 아름동,10,6783,1605
120095,roxnuo36,oz381746,한소은,911231,2039319,세종 조치원읍,10,1843,1617
120096,tos8544,eptens74,라태희,800930,2088025,세종 새롬동,10,9420,1617
110088,tix68735,oboujw80,안주원,860930,1107648,세종 종촌동,10,4233,1622
110089,bebqeh7278,se949060,남이안,922225,1636375,세종 부강면,10,7421,1622
110090,fat79109,ikjenn27,문지율,900430,1904435,세종 부강면,10,7137,1634
110091,puzgoq0496,obmahj17,노민찬,840430,1941943,세종 전동면,10,9088,1636
110092,keo81625,ik423689,조민규,970131,1245905,세종 아름동,10,1309,1641
120097,vuq8981,on862186,라채린,910930,2725059,세종 한솔동,10,1318,1650
110093,wor5128,uz202940,남민성,980331,1887610,세종 전의면,10,5090,1653
120098,yioneg0260,efqoyg35,박서현,970228,2781339,세종 도담동,10,3704,1657
110094,gam58252,oj638536,조정현,961130,1119411,세종 소정면,10,8563,1657
110095,miy21562,asiesj84,지현수,940228,1749969,세종 고운동,10,7976,1661
120099,fox8311,exhice49,채시은,891031,2416850,세종 연기면,10,8963,1664
110096,kah6119,il808394,고하람,900930,1575737,세종 한솔동,10,7943,1672
110097,palbin90,ognepa71,강윤재,940131,1979198,세종 소정면,10,8107,1673
110098,sio05779,oh888277,박지완,991130,1536400,세종 부강면,10,4663,1674
120100,muv0790,advyip62,윤윤서,870630,2447286,경기 고양시,10,4724,1678
110099,jea0689,uj599383,권준호,910630,1375822,경기 광주시,10,9650,1680
110100,toe3622,ikty9459,고지호,861031,1345451,경기 성남시,10,2946,1687
110101,mod22352,oxgisl09,유정우,960430,1650054,경기 과천시,10,3037,1693
120101,zuf0390,eqkkob43,채아영,850531,2842667,경기 이천시,10,8436,1695
120102,cublae1776,ik305594,문유정,840131,2515172,경기 시흥시,10,8415,1696
120103,paf3966,ik305594,권지우,840131,2514337,경기 광명시,10,4582,1697
120104,qip23819,ab073444,차주아,860131,2318685,경기 남양주시,10,3149,1699
110102,xui1040,os468778,한준수,990831,1687530,경기 화성시,10,9429,1699
120105,riz5258,afpmol39,이윤아,800930,2658561,경기 이천시,10,9814,1699
110103,haw52542,ek004656,문성현,951231,1709320,경기 의정부시,10,4810,1700
120106,qunniv2041,ek057825,고세아,860228,2686147,경기 화성시,10,6782,1700
110104,biv1210,ihzx0926,우성준,880630,1250206,경기 수원시,10,5513,1702
120107,bue32104,eb138894,황민주,801231,2839871,경기 의왕시,10,2279,1707
110105,xed2070,oh499481,임민석,820731,1904585,경기 광명시,10,8425,1711
120108,daq1537,ojwxuw92,배예원,990731,2246993,경기 파주시,10,3655,1713
120109,weo09610,oz625396,장민채,940731,2497556,경기 군포시,10,8325,1722
120110,mew2763,iwryuc57,장민주,950131,2960570,경기 평택시,10,7082,1725
120111,ruz2510,olweca54,한하연,810430,2997711,경기 안산시,10,1321,1727
110106,mav37891,ahgexh25,류지우,980430,1653230,경기 군포시,10,1797,1732
110107,faw7830,odwbio23,양도현,960229,1355782,경기 군포시,10,5062,1733
110108,vux5630,iwnc4811,유강민,920630,1977604,경기 여주시,10,2030,1734
110109,la2598,ot224949,박예성,920131,1063730,경기 수원시,10,8175,1735
110110,mog8242,iz544864,정규민,890531,1835543,경기 김포시,10,7672,1736
110111,hif5671,ulotec57,윤준,930331,1443948,경기 시흥시,10,8563,1738
120112,fii7279,ag301247,채지안,891231,2024132,강원 인제군,10,2185,1744
120113,je9333,ag301247,조하윤,891231,2025288,강원 홍천군,10,8558,1744
110112,yin6798,iptc3102,손이안,910430,1581313,강원 속초시,10,6619,1749
110113,wuo07320,aqxuwd92,고시우,871231,1711885,강원 평창군,10,1752,1752
120114,pod8555,ot652721,백유정,971130,2918882,강원 인제군,10,2130,1755
120115,muy78637,on691781,신서영,880930,2556020,강원 영월군,10,1522,1759
120116,gur05496,ug218708,정아린,861231,2853457,강원 정선군,10,2303,1762
110114,yuz21792,aq793409,정현준,800831,1378820,강원 정선군,10,6074,1764
110115,lop24171,uk362348,신성민,870930,1673628,강원 평창군,10,4367,1770
120117,sip8786,uh486041,최수빈,900131,2941321,강원 동해시,10,8584,1772
110116,pod52181,ihhinm75,조하율,890531,1766732,강원 강릉시,10,8770,1777
120118,zon6080,oc152222,유예서,920131,2214040,강원 화천군,10,7061,1778
120119,quf7002,ow488965,유아인,800630,2124724,강원 화천군,10,1377,1780
110117,mejxin21,ingahe64,유지우,881130,1637316,강원 정선군,10,3413,1783
110118,lut8209,ahrw5651,민민규,900630,1142926,강원 춘천시,10,8591,1793
110119,gik93638,ulqazx28,강유찬,971231,1613276,강원 철원군,10,7475,1794
120120,baq9543,eboxof89,채다은,960731,2703949,강원 평창군,10,1857,1796
110120,sii29293,is916205,송우진,870930,1921721,강원 동해시,10,8307,1798
120121,wun52178,em175784,구소율,831031,2479988,강원 태백시,10,4979,1801
110121,cit56562,uqpuva01,최시윤,801231,1728936,강원 정선군,10,3854,1802
121500,si1369,uhrocb55,지수현,950531,2442431,강원 양구군,10,7102,1804
120122,bawmux41,opxasm82,홍채은,841031,2690876,강원 영월군,10,9410,1809
120123,noj4549,em892766,전지우,800430,2277383,강원 고성군,10,4869,1813
110122,daugox1788,efeogu17,한재민,860430,1024042,강원 인제군,10,9699,1813
120124,yel35491,inhulx61,윤채원,951231,2583762,강원 영월군,10,8378,1814
120125,fa9689,emfofb12,전다은,950331,2034163,충북 옥천군,10,5738,1821
121490,zuw9424,iqkenc07,하예나,921231,2231005,충북 진천군,10,4418,1822
110123,caj08475,ol926743,구지민,950430,1076334,충북 증평군,10,5622,1828
120126,ren9656,ijqeji61,배민지,890630,2772579,충북 진천군,10,9542,1831
110124,nunbiy8223,qe331717,구준수,903819,1154854,충북 괴산군,10,4792,1832
110125,hui59031,eg561607,전예찬,961031,1975184,충북 충주시,10,4930,1833
120127,waq2799,ursaqq27,곽채은,870228,2832435,충북 괴산군,10,8616,1833
110126,mol1787,orev0830,문하진,800229,1667140,충북 충주시,10,2045,1834
110127,mus84670,ob423131,라재원,851130,1060708,충북 진천군,10,6828,1837
120128,qos5717,ismadm86,오채원,830731,2261529,충북 진천군,10,1513,1844
120129,vel8400,aldyin75,문서윤,920131,2449784,충북 옥천군,10,2993,1847
110128,qemmac0454,xi581834,최지율,922437,1707582,충북 단양군,10,7672,1848
110129,wec1116,ad972656,홍강민,831031,1291645,충북 증평군,10,1842,1849
120130,fo5891,ikgezn46,최민서,890630,2068057,충북 괴산군,10,3433,1850
120131,zijjak0241,uf134388,백예진,800831,2269708,충북 진천군,10,7650,1850
110130,fub28154,av064521,지준수,940731,1787654,충북 충주시,10,4630,1858
110131,niofej5149,enmimt30,문지우,850531,1077845,충북 단양군,10,8073,1862
110132,soz3082,exvl4593,곽현우,841231,1779577,충북 청주시,10,5025,1864
110133,fig8558,ak091934,송예준,910831,1438042,충북 음성군,10,9757,1864
110134,xem7946,itqb0421,정지원,800930,1055232,충북 괴산군,10,9608,1865
110135,qev9375,oy091138,최지완,840229,1969893,충북 괴산군,10,5040,1868
110136,zal15365,ag616537,주하율,880731,1405692,충북 단양군,10,7104,1869
110137,ke4840,it530014,오정민,900630,1454006,충북 음성군,10,4005,1876
120132,pih1232,etgwuy71,배지아,820731,2951349,충북 청주시,10,1343,1880
120133,gizzis49,esgatl79,노은서,960331,2909979,충북 증평군,10,3540,1881
110138,viq9372,ag757804,최승원,890228,1205582,충남 천안시,10,5641,1882
110139,foc7418,oy167005,하시후,881031,1804391,충남 천안시,10,9911,1883
120134,joj7386,oh556033,정윤서,970228,2014717,충남 공주시,10,7149,1885
120135,sao1503,oh556033,오지민,970228,2013892,충남 예산군,10,1863,1886
110140,sai2338,ossh7424,나시현,900630,1353032,충남 계룡시,10,4889,1888
110141,toc44086,aj135603,양승우,900331,1686347,충남 보령시,10,7587,1891
110142,rilxua22,ofnarb07,진우진,851031,1850771,충남 논산시,10,4289,1893
110143,qoc12701,oz638939,안지우,890630,1368601,충남 아산시,10,7113,1893
120136,ver18881,ur336245,진아영,890131,2715325,충남 천안시,10,3990,1894
120137,bin9478,upltib28,라지우,800731,2991498,충남 계룡시,10,8437,1897
110144,hahpoe0234,yu805237,진준서,964332,1703181,충남 공주시,10,1779,1898
120138,hiv6783,atnxip31,정채윤,940331,2899654,충남 청양군,10,8018,1902
120139,bae9995,ubzjov12,송지민,900331,2308374,충남 계룡시,10,3002,1907
110145,tuusav41,awuotc36,곽건우,810930,1453308,충남 서천군,10,5380,1915
110146,wivlie2944,ko351540,조민성,949607,1948328,충남 공주시,10,8006,1916
121432,bux3346,aczbue87,강규리,890131,2106545,충남 금산군,10,9049,1922
110147,mi1449,em525699,곽민성,931130,1183019,충남 당진시,10,2613,1927
110148,cuf1938,esvn5227,남준호,860430,1907606,충남 홍성군,10,7638,1930
110149,wim7735,etxvii79,최시온,810430,1452957,충남 서산시,10,4442,1931
110150,dod7224,uc508136,고태현,971130,1375106,충남 금산군,10,2642,1932
120140,jimzuz61,ar982604,민수연,881231,2258709,충남 논산시,10,7082,1934
110151,xap71589,uz953823,임서진,980228,1163880,충남 계룡시,10,8908,1934
110152,wef0496,abplis03,라민성,811231,1248548,충남 부여군,10,1209,1936
110153,mev50522,ek911393,원시온,810131,1107914,충남 보령시,10,6695,1938
120141,burjej21,up175193,남채아,820331,2871741,충남 청양군,10,9434,1940
120142,wat4958,up175193,고지은,820331,2872099,전북 김제시,10,1252,1941
110154,gab7141,ippq3985,조태윤,860430,1145605,전북 부안군,10,8795,1942
110155,kuk30928,uh132414,구민석,830731,1831635,전북 군산시,10,5869,1944
120143,qas98741,udjewg49,손수현,920831,2484406,전북 군산시,10,3188,1945
110156,gub52207,ox785168,유유찬,841231,1075272,전북 무주군,10,1834,1949
120144,nesbex8183,et497473,노지현,970630,2253764,전북 김제시,10,6603,1953
110157,gim36894,om569156,서하진,860831,1519954,전북 전주시,10,5954,1957
110158,qaq1216,az285151,류하준,830930,1987378,전북 완주군,10,5645,1959
120145,fov7536,if798228,우예림,841130,2893028,전북 무주군,10,2833,1961
110159,raa52986,ux057838,허도윤,971130,1389050,전북 전주시,10,5279,1964
110160,bez1753,ux424848,신이안,930430,1940564,전북 자웃군,10,6587,1964
110161,dit9467,ux475433,엄지훈,851031,1234630,전북 익산시,10,9262,1967
120146,roo1664,uvxhus26,우하영,880430,2387685,전북 고창군,10,8244,1968
120147,paj6361,ex366960,한유진,830930,2593114,전북 익산시,10,8809,1970
120148,hih1888,opgejc77,허예서,911130,2974333,전북 순창군,10,6629,1972
110162,tap47525,un794620,한민찬,930531,1719867,전북 무주군,10,6754,1975
110163,tiz3564,ok198102,강은찬,830831,1514152,전북 순창군,10,2216,1983
110164,kuz0079,iydbuu13,황지훈,920630,1229040,전북 김제시,10,5449,1983
110165,bur40989,umgili91,채서준,990331,1606529,전북 익산시,10,7190,1984
120149,tio1360,ej934816,박지안,921130,2491081,전북 군산시,10,7897,1985
110166,xipxia1082,ipkase18,윤민혁,980630,1318993,전북 정읍시,10,1501,1986
110167,ter3891,uy020228,조율,880731,1747858,전북 김제시,10,4594,1992
110168,sib6955,en900905,임은성,930531,1525959,전북 진안군,10,5246,2002
110169,miy9445,ewgm8019,이성준,880630,1002742,전북 익산시,10,6907,2002
120150,rir5760,uwcgaj16,유수연,870831,2720288,전북 고창군,10,3674,2005
120151,je8657,axeatc58,송하윤,860430,2604200,전남 광양시,10,2056,2010
110170,mid21281,en668886,류지성,870630,1419256,전남 광양시,10,3393,2018
110171,xap1200,oz109323,고성민,930131,1703199,전남 장성군,10,7442,2021
110172,roe95132,otgidh07,지유찬,800531,1954676,전남 해남군,10,2377,2030
110173,kep79099,an037717,채민성,810930,1821259,전남 나주시,10,4115,2040
110174,lor41164,ub089626,최민우,860430,1659010,전남 여수시,10,4598,2043
120152,xaz03255,en061247,윤서현,890331,2174650,전남 영광군,10,5270,2045
120153,lup2135,avcwoz05,전예진,810228,2531309,전남 구례군,10,2417,2046
110175,fecfob6549,ilyimw08,박준혁,810630,1946073,전남 광양시,10,2791,2049
120154,nig1250,is248137,엄승아,970228,2137419,전남 담양군,10,3344,2053
110176,xai2849,ej604593,우도윤,880531,1889437,전남 장성군,10,6414,2054
110177,doldia9863,ozcudg83,노민호,850831,1926872,전남 화순군,10,4498,2058
110178,coy9115,as254685,채지안,810331,1690082,전남 고흥군,10,5266,2059
110179,hotjat8270,me126063,박정현,936329,1119557,전남 장흥군,10,3878,2064
120155,tohxeu3058,uddicm99,송지현,951130,2097627,전남 해남군,10,4969,2067
120156,fuk1687,ubqtot18,황서영,990131,2040519,전남 완도군,10,8410,2069
120157,daj5720,ax068207,안나현,931031,2683394,전남 완도군,10,8846,2069
120158,tad1588,awdcoh20,홍하은,990331,2559977,전남 신안군,10,3582,2072
110180,fixxep69,ossosz85,유준,930228,1632512,전남 진도군,10,5024,2073
110181,yax85547,og590214,윤유찬,950930,1509757,전남 담양군,10,6621,2073
120159,xij25042,ubyevl08,노민채,800331,2520634,전남 보성군,10,6188,2083
110182,jau9340,af473203,송서진,960331,1902423,전남 완도군,10,9556,2083
